community,status,act,nsw,nt,qld,sa,tas,vic,wa
Alpine Ash forests of mainland Australia,Endangered,0,1,0,0,0,0,1,0
Alpine Sphagnum Bogs and Associated Fens,Endangered,1,1,0,0,0,1,1,0
Aquatic Root Mat Community 1 in Caves of the Leeuwin Naturaliste Ridge,Endangered,0,0,0,0,0,0,0,1
Aquatic Root Mat Community 2 in Caves of the Leeuwin Naturaliste Ridge,Endangered,0,0,0,0,0,0,0,1
Aquatic Root Mat Community 3 in Caves of the Leeuwin Naturaliste Ridge,Endangered,0,0,0,0,0,0,0,1
Aquatic Root Mat Community 4 in Caves of the Leeuwin Naturaliste Ridge,Endangered,0,0,0,0,0,0,0,1
Aquatic Root Mat Community in Caves of the Swan Coastal Plain,Endangered,0,0,0,0,0,0,0,1
Araluen Scarp Grassy Forest,Endangered,0,1,0,0,0,0,0,0
Arnhem Plateau Sandstone Shrubland Complex,Endangered,0,0,1,0,0,0,0,0
Assemblages of plants and invertebrate animals of tumulus (organic mound) springs of the Swan Coastal Plain,Endangered,0,0,0,0,0,0,0,1
Assemblages of species associated with open-coast salt-wedge estuaries of western and central Victoria ecological community,Endangered,0,0,0,0,1,0,1,0
Banksia Woodlands of the Swan Coastal Plain ecological community,Endangered,0,0,0,0,0,0,0,1
Ben Halls Gap Sphagnum Moss Cool Temperate Rainforest,Critically Endangered,0,1,0,0,0,0,0,0
Blue Gum High Forest of the Sydney Basin Bioregion,Critically Endangered,0,1,0,0,0,0,0,0
Brigalow (Acacia harpophylla dominant and co-dominant),Endangered,0,1,0,1,0,0,0,0
Broad leaf tea-tree (Melaleuca viridiflora) woodlands in high rainfall coastal north Queensland,Endangered,0,0,0,1,0,0,0,0
Brogo Vine Forest of the South East Corner Bioregion,Endangered,0,1,0,0,0,0,0,0
Buloke Woodlands of the Riverina and Murray-Darling Depression Bioregions,Endangered,0,1,0,0,1,0,1,0
Castlereagh Scribbly Gum and Agnes Banks Woodlands of the Sydney Basin Bioregion,Endangered,0,1,0,0,0,0,0,0
Central Hunter Valley eucalypt forest and woodland,Critically Endangered,0,1,0,0,0,0,0,0
Clay Pans of the Swan Coastal Plain,Critically Endangered,0,0,0,0,0,0,0,1
Coastal Swamp Oak (Casuarina glauca) Forest of New South Wales and South East Queensland ecological community,Endangered,0,1,0,1,0,0,0,0
Coastal Swamp Sclerophyll Forest of New South Wales and South East Queensland,Endangered,0,1,0,1,0,0,0,0
Coastal Upland Swamps in the Sydney Basin Bioregion,Endangered,0,1,0,0,0,0,0,0
Cooks River/Castlereagh Ironbark Forest of the Sydney Basin Bioregion,Critically Endangered,0,1,0,0,0,0,0,0
Coolibah - Black Box Woodlands of the Darling Riverine Plains and the Brigalow Belt South Bioregions,Endangered,0,1,0,1,0,0,0,0
Corymbia calophylla - Kingia australis woodlands on heavy soils of the Swan Coastal Plain,Endangered,0,0,0,0,0,0,0,1
Corymbia calophylla - Xanthorrhoea preissii woodlands and shrublands of the Swan Coastal Plain,Endangered,0,0,0,0,0,0,0,1
Cumberland Plain Shale Woodlands and Shale-Gravel Transition Forest,Critically Endangered,0,1,0,0,0,0,0,0
Drooping sheoak grassy woodland on calcrete of the Eyre Yorke Block Bioregion,Critically Endangered,0,0,0,0,1,0,0,0
Dry rainforests of south-east New South Wales and eastern Victoria,Critically Endangered,0,1,0,0,0,0,1,0
Dunn's white gum (Eucalyptus dunnii) moist forest in north-east New South Wales and south-east Queensland,Endangered,0,1,0,1,0,0,0,0
Eastern Stirling Range Montane Heath and Thicket,Endangered,0,0,0,0,0,0,0,1
Eastern Suburbs Banksia Scrub of the Sydney Region,Critically Endangered,0,1,0,0,0,0,0,0
Elderslie Banksia Scrub Forest in the Sydney Basin Bioregion,Critically Endangered,0,1,0,0,0,0,0,0
Empodisma peatlands of southwestern Australia,Endangered,0,0,0,0,0,0,0,1
Eucalypt Woodlands of the Western Australian Wheatbelt,Critically Endangered,0,0,0,0,0,0,0,1
Eucalyptus ovata - Callitris oblonga Forest,Vulnerable,0,0,0,0,0,1,0,0
Eyre Peninsula Blue Gum (Eucalyptus petiolaris) Woodland,Endangered,0,0,0,0,1,0,0,0
Giant Kelp Marine Forests of South East Australia,Endangered,0,0,0,0,1,1,1,0
Gippsland Red Gum (Eucalyptus tereticornis subsp. mediana) Grassy Woodland and Associated Native Grassland,Critically Endangered,0,0,0,0,0,0,1,0
Grassy Eucalypt Woodland of the Victorian Volcanic Plain,Critically Endangered,0,0,0,0,0,0,1,0
Grey Box (Eucalyptus microcarpa) Grassy Woodlands and Derived Native Grasslands of South-eastern Australia,Endangered,0,1,0,0,1,0,1,0
Grey box-grey gum wet forest of subtropical eastern Australia,Endangered,0,1,0,1,0,0,0,0
Honeymyrtle shrubland on limestone ridges of the Swan Coastal Plain Bioregion,Critically Endangered,0,0,0,0,0,0,0,1
Hunter Valley Weeping Myall (Acacia pendula) Woodland,Critically Endangered,0,1,0,0,0,0,0,0
Illawarra and south coast lowland forest and woodland ecological community,Critically Endangered,0,1,0,0,0,0,0,0
Illawarra-Shoalhaven shrublands on volcanic outcrops,Critically Endangered,0,1,0,0,0,0,0,0
Illawarra-Shoalhaven Subtropical Rainforest of the Sydney Basin Bioregion,Critically Endangered,0,1,0,0,0,0,0,0
Iron-grass Natural Temperate Grassland of South Australia,Critically Endangered,0,0,0,0,1,0,0,0
Kangaroo Island Narrow-leaved Mallee (Eucalyptus cneorifolia) Woodland,Critically Endangered,0,0,0,0,1,0,0,0
Karst springs and associated alkaline fens of the Naracoorte Coastal Plain Bioregion,Endangered,0,0,0,0,1,0,1,0
King Island scrub complex,Endangered,0,0,0,0,0,1,0,0
Kurri sand swamp woodland of the Sydney Basin bioregion,Endangered,0,1,0,0,0,0,0,0
Littoral Rainforest and Coastal Vine Thickets of Eastern Australia,Critically Endangered,0,1,0,1,0,0,1,0
Lowland Grassy Woodland in the South East Corner Bioregion,Critically Endangered,0,1,0,0,0,0,0,0
Lowland Native Grasslands of Tasmania,Critically Endangered,0,0,0,0,0,1,0,0
Lowland Rainforest of Subtropical Australia,Critically Endangered,0,1,0,1,0,0,0,0
Lowland tropical rainforest of the Wet Tropics,Endangered,0,0,0,1,0,0,0,0
Mabi Forest (Complex Notophyll Vine Forest 5b),Critically Endangered,0,0,0,1,0,0,0,0
Mallee Bird Community of the Murray Darling Depression Bioregion,Endangered,0,1,0,0,1,0,1,0
Monsoon vine thickets on the coastal sand dunes of Dampier Peninsula,Endangered,0,0,0,0,0,0,0,1
Mount Kaputar land snail and slug community,Endangered,0,1,0,0,0,0,0,0
Natural Damp Grassland of the Victorian Coastal Plains,Critically Endangered,0,0,0,0,0,0,1,0
Natural Grasslands of the Murray Valley Plains,Critically Endangered,0,1,0,0,0,0,1,0
Natural Grasslands of the Queensland Central Highlands and northern Fitzroy Basin,Endangered,0,0,0,1,0,0,0,0
Natural grasslands on basalt and fine-textured alluvial plains of northern New South Wales and southern Queensland,Critically Endangered,0,1,0,1,0,0,0,0
Natural Temperate Grassland of the South Eastern Highlands,Critically Endangered,1,1,0,0,0,0,1,0
Natural Temperate Grassland of the Victorian Volcanic Plain,Critically Endangered,0,0,0,0,0,0,1,0
New England Peppermint (Eucalyptus nova-anglica) Grassy Woodlands,Critically Endangered,0,1,0,1,0,0,0,0
Peppermint Box (Eucalyptus odorata) Grassy Woodland of South Australia,Critically Endangered,0,0,0,0,1,0,0,0
Perched Wetlands of the Wheatbelt region with extensive stands of living sheoak and paperbark across the lake floor (Toolibin Lake),Endangered,0,0,0,0,0,0,0,1
Pinkwood cool temperate rainforests of south east New South Wales and far east Victoria,Endangered,0,1,0,0,0,0,1,0
"Plains mallee box woodlands of the Murray Darling Depression, Riverina and Naracoorte Coastal Plain Bioregions",Critically Endangered,0,1,0,0,1,0,1,0
Poplar Box Grassy Woodland on Alluvial Plains,Endangered,0,1,0,1,0,0,0,0
Posidonia australis seagrass meadows of the Manning-Hawkesbury ecoregion,Endangered,0,1,0,0,0,0,0,0
Proteaceae Dominated Kwongkan Shrublands of the Southeast Coastal Floristic Province of Western Australia,Endangered,0,0,0,0,0,0,0,1
"River Murray downstream of the Darling River, and associated aquatic and floodplain systems",Critically Endangered,0,1,0,0,1,0,1,0
River-flat eucalypt forest on coastal floodplains of southern New South Wales and eastern Victoria,Critically Endangered,0,1,0,0,0,0,1,0
Robertson Rainforest in the Sydney Basin Bioregion,Critically Endangered,0,1,0,0,0,0,0,0
Scott River Ironstone Association,Endangered,0,0,0,0,0,0,0,1
Seasonal Herbaceous Wetlands (Freshwater) of the Temperate Lowland Plains,Critically Endangered,0,1,0,0,1,0,1,0
Sedgelands in Holocene dune swales of the southern Swan Coastal Plain,Endangered,0,0,0,0,0,0,0,1
Semi-evergreen vine thickets of the Brigalow Belt (North and South) and Nandewar Bioregions,Endangered,0,1,0,1,0,0,0,0
Shale Sandstone Transition Forest of the Sydney Basin Bioregion,Critically Endangered,0,1,0,0,0,0,0,0
Shrublands and Woodlands of the eastern Swan Coastal Plain,Endangered,0,0,0,0,0,0,0,1
Shrublands and Woodlands on Muchea Limestone of the Swan Coastal Plain,Endangered,0,0,0,0,0,0,0,1
Shrublands and Woodlands on Perth to Gingin ironstone (Perth to Gingin ironstone association) of the Swan Coastal Plain,Endangered,0,0,0,0,0,0,0,1
Shrublands on southern Swan Coastal Plain ironstones,Endangered,0,0,0,0,0,0,0,1
Silurian Limestone Pomaderris Shrubland of the South East Corner and Australian Alps Bioregions,Endangered,0,0,0,0,0,0,1,0
Southern Highlands Shale Forest and Woodland in the Sydney Basin Bioregion,Critically Endangered,0,1,0,0,0,0,0,0
Subtropical and Temperate Coastal Saltmarsh,Vulnerable,0,1,0,1,1,1,1,1
Subtropical eucalypt floodplain forest and woodland of the New South Wales North Coast and South East Queensland bioregions,Endangered,0,1,0,1,0,0,0,0
Swamp Tea-tree (Melaleuca irbyana) Forest of South-east Queensland,Critically Endangered,0,0,0,1,0,0,0,0
Swamps of the Fleurieu Peninsula,Critically Endangered,0,0,0,0,1,0,0,0
Tasmanian Forests and Woodlands dominated by black gum or Brookers gum (Eucalyptus ovata / E. brookeriana),Critically Endangered,0,0,0,0,0,1,0,0
Tasmanian white gum (Eucalyptus viminalis) wet forest,Critically Endangered,0,0,0,0,0,1,0,0
Temperate Highland Peat Swamps on Sandstone,Endangered,0,1,0,0,0,0,0,0
The community of native species dependent on natural discharge of groundwater from the Great Artesian Basin,Endangered,0,1,1,1,1,0,0,0
Thrombolite (microbial) community of coastal freshwater lakes of the Swan Coastal Plain (Lake Richmond),Endangered,0,0,0,0,0,0,0,1
Thrombolite (microbialite) Community of a Coastal Brackish Lake (Lake Clifton),Critically Endangered,0,0,0,0,0,0,0,1
Tuart (Eucalyptus gomphocephala) Woodlands and Forests of the Swan Coastal Plain ecological community,Critically Endangered,0,0,0,0,0,0,0,1
Turpentine-Ironbark Forest of the Sydney Basin Bioregion,Critically Endangered,0,1,0,0,0,0,0,0
Upland Basalt Eucalypt Forests of the Sydney Basin Bioregion,Endangered,0,1,0,0,0,0,0,0
Upland Wetlands of the New England Tablelands (New England Tableland Bioregion) and the Monaro Plateau (South Eastern Highlands Bioregion),Endangered,0,1,0,0,0,0,0,0
Warkworth Sands Woodland of the Hunter Valley,Critically Endangered,0,1,0,0,0,0,0,0
Weeping Myall Woodlands,Endangered,0,1,0,1,0,0,0,0
Western Sydney Dry Rainforest and Moist Woodland on Shale,Critically Endangered,0,1,0,0,0,0,0,0
Wetlands and inner floodplains of the Macquarie Marshes,Endangered,0,1,0,0,0,0,0,0
White Ash forests of south-east Australia,Endangered,0,1,0,0,0,0,1,0
White Box-Yellow Box-Blakely's Red Gum Grassy Woodland and Derived Native Grassland,Critically Endangered,1,1,0,1,1,0,1,0
