scientific_name,common_name,status,kingdom,class,act,nsw,nt,qld,sa,tas,vic,wa,group
Abutilon julianae,Norfolk Island Abutilon,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,0,Plants
Acacia ammophila,-,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia aphylla,Leafless Rock Wattle,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia aprica,Blunt Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",Vulnerable,Plantae,Magnoliopsida,0,0,0,0,1,0,0,0,Plants
Acacia aristulata,Watheroo Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia atrox,Myall Creek Wattle,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia attenuata,-,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Acacia auratiflora,Orange-flowered Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia awestoniana,Stirling Range Wattle,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia axillaris,"Midlands Mimosa, Midlands Wattle",Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,1,0,0,Plants
Acacia baueri subsp. aspera,-,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia blayana,Blay's Wattle,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia brachypoda,Western Wheatbelt Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia bynoeana,"Bynoe's Wattle, Tiny Wattle",Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia caerulescens,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,1,0,Plants
Acacia carneorum,"Needle Wattle, Dead Finish, Purple-wood Wattle",Vulnerable,Plantae,Magnoliopsida,0,1,0,0,1,0,0,0,Plants
Acacia chapmanii subsp. australis,-,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia cochlocarpa subsp. cochlocarpa,Spiral-fruited Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia cochlocarpa subsp. velutinosa,Velvety Spiral Pod Wattle,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia constablei,Narrabarba Wattle,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia courtii,"Three Brothers Wattle, Brother Wattle, Northern Brother Wattle",Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia cretacea,Chalky Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,1,0,0,0,Plants
